Account name,Parent account name,Last shift posted on,Avg fill rate (most recent month they were active),Avg cancellation rate (most recent month they were active),Avg no show rate (most recent month they were active),Shifts posted (most recent month they were active),Current Status,Location,Channel,Activated on (first shift posted date),Net payment terms,% of Accounts Receivable $ overdue,Notes
Palm Beach Assisted Living,Pinnacle Heritage Healthcare,4 days ago,83%,6%,2%,22,Active,"Miami, FL",Outbound,3 months ago,30 days,0%,Wants the same caregivers each time on the Memory Care wing
Bayshore Vista Care Center,Meridian Long-Term Care Partners,5 days ago,65%,10%,5%,20,Active,"Tampa, FL",Inbound,5 months ago,30 days,0%,Requested Orientation shifts to make sure new professionals know the nuances of the facility - big deal for them
Sunshine Gardens,,5 months ago,70%,5%,2%,20,Inactive,"Orlando, FL",Outbound,10 month ago,30 days,0%,Weekends are a big struggle for them
Coral Grove Assisted Living,,Today,75%,7%,2%,20,Active,"Jacksonville, FL",Inbound,7 days ago,30 days,0%,Were with ShiftKey but weren't satisfied with their performance
Cypress Pines Health & Rehab,Sunshine Senior Living Group,4 days ago,90%,4%,0.5%,65,Active,"Orlando, FL",Outbound,1 year ago,45 days,15%,"Staffing Coordinator loves our charting compliance tool - she can now ""watch her kid's baseball games on the weekend rather than chasing professionals to chart"""
Everglades Nursing & Rehab,Florida Health Partners,Today,85%,5%,0.5%,200,Active,"Fort Lauderdale, FL",Outbound,9 months ago,30 days,0%,Love the Urgent Shifts feature
Magnolia Memory Care,,Yesterday,95%,2%,0.5%,80,Active,"Miami, FL",Outbound,2 years ago,45 days,0%,"Big fans of Clipboard -> as well as loving the core product, they sometimes use the per diem platform to 'try out' potential full time hires"
Ocean Bloom Memory Care,Florida Health Partners,Yesterday,90%,5%,1%,75,Active,"Fort Lauderdale, FL",Outbound,1 year ago,30 days,0%,Uses instant-book interviews for CNAs; strong weekend roster continuity
Coastal Horizon Rehabilitation Center,,2 months ago,78%,8%,5%,25,Inactive,"Miami, FL",Outbound,7 months ago,30 days,0%,"They constantly complained - we kept promising to improve the No Show rate but ""never did"""
Seaside Star Convalescent Center,Gulf Coast Senior Services Network,Today,77%,7%,3%,45,Active,"Miami, FL",Inbound,11 months ago,30 days,0%,Prefers SMS confirmations for booked shifts
Mangrove Living,,3 months ago,90%,6%,1%,100,Inactive,"Miami, FL",Inbound,1 year ago,15 days,0%,"Complained about tight billing terms - ""no other vendor makes us pay so quickly"""
Royal Palm Rehabilitation Center,,Yesterday,88%,4%,1%,60,Active,"Tampa, FL",Outbound,6 months ago,45 days,5%,Improved fill after we raised their rates and were able to offer shifts at higher pay
Riverview Post-Acute,,Yesterday,87%,6%,2%,10,Active,"Jacksonville, FL",Inbound,5 days ago,30 days,0%,"Used to use ShiftKey, reported low fill rates"
Sunset Sky Post-Acute,Meridian Long-Term Care Partners,3 months ago,45%,12%,6%,25,Inactive,"Tampa, FL",Inbound,6 months ago,30 days,0%,Churned - we're not sure why
Pelican Run Health Center,Gulf Coast Senior Services Network,4 months ago,85%,5%,2%,15,Inactive,"Miami, FL",Inbound,11 months ago,30 days,0%,Said they had no more needs so stopped using us
Sea Breeze Senior Living,Florida Health Partners,Today,88%,4%,2%,110,Active,"Fort Lauderdale, FL",Conference,6 months ago,30 days,10%,Very happy customers
Hibiscus Ridge Skilled Nursing,Aurelia Health Holdings,Yesterday,88%,6%,2%,15,Active,"Jacksonville, FL",Inbound,4 days ago,30 days,0%,Previously were with a different agency but they couldn't fill their shifts
Sandy Creek Care Center,,Today,82%,6%,1%,35,Active,"Jacksonville, FL",Outbound,2 months ago,30 days,5%,New DON - challenged us on the accuracy of our invoices
Sarasota Meadows Senior Living,Sunshine Senior Living Group,Yesterday,88%,3%,0.5%,40,Active,"Miami, FL",Outbound,8 months ago,45 days,10%,Prefers continuity roster for Memory Care; trialing two recurring CNAs
Flamingo Point Skilled Nursing,,Yesterday,89%,3%,1%,55,Active,"Orlando, FL",Inbound,2 months ago,45 days,0%,High-acuity unit; prefers experienced RNs
